Java HotSpot(TM) 64-Bit Server VM (25.77-b03) for windows-amd64 JRE (1.8.0_77-b03), built on Mar 20 2016 22:01:33 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16725344k(6539176k free), swap 25638240k(5985812k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2022-01-06T15:31:48.890+0800: 0.110: [GC (Allocation Failure) [PSYoungGen: 32841K->5115K(38400K)] 32841K->12999K(125952K), 0.0037052 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-01-06T15:31:49.153+0800: 0.373: [Full GC (Ergonomics) [PSYoungGen: 14769K->13753K(29184K)] [ParOldGen: 87511K->87436K(87552K)] 102280K->101190K(116736K), [Metaspace: 2706K->2706K(1056768K)], 0.0157197 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2022-01-06T15:31:49.170+0800: 0.389: [Full GC (Ergonomics) [PSYoungGen: 14793K->13893K(29184K)] [ParOldGen: 87436K->87436K(87552K)] 102230K->101330K(116736K), [Metaspace: 2706K->2706K(1056768K)], 0.0022079 secs] [Times: user=0.16 sys=0.00, real=0.00 secs] 
2022-01-06T15:31:49.172+0800: 0.391: [Full GC (Ergonomics) [PSYoungGen: 14680K->14245K(29184K)] [ParOldGen: 87436K->87436K(87552K)] 102117K->101681K(116736K), [Metaspace: 2706K->2706K(1056768K)], 0.0019566 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-01-06T15:31:49.174+0800: 0.393: [Full GC (Ergonomics) [PSYoungGen: 14481K->14245K(29184K)] [ParOldGen: 87436K->87436K(87552K)] 101918K->101681K(116736K), [Metaspace: 2706K->2706K(1056768K)], 0.0014585 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2022-01-06T15:31:49.176+0800: 0.395: [Full GC (Allocation Failure) [PSYoungGen: 14245K->14245K(29184K)] [ParOldGen: 87436K->87417K(87552K)] 101681K->101662K(116736K), [Metaspace: 2706K->2706K(1056768K)], 0.0257126 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
Heap
 PSYoungGen      total 29184K, used 14579K [0x00000000fd580000, 0x0000000100000000, 0x0000000100000000)
  eden space 14848K, 98% used [0x00000000fd580000,0x00000000fe3bcc70,0x00000000fe400000)
  from space 14336K, 0% used [0x00000000ff200000,0x00000000ff200000,0x0000000100000000)
  to   space 14336K, 0% used [0x00000000fe400000,0x00000000fe400000,0x00000000ff200000)
 ParOldGen       total 87552K, used 87417K [0x00000000f8000000, 0x00000000fd580000, 0x00000000fd580000)
  object space 87552K, 99% used [0x00000000f8000000,0x00000000fd55e678,0x00000000fd580000)
 Metaspace       used 2737K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 298K, capacity 386K, committed 512K, reserved 1048576K
